"spkid","full_name","sats","diameter","class","data_arc","first_obs","last_obs","e","a","i","per_y","condition_code"
1001673,"     P/2005 T4 (SWAN)",0,,HTC,17,2005-10-14,2005-10-31,0.9304,9.324,160.04,28.5,8
1002409,"     P/2006 HR30 (Siding Spring)",0,,HTC,1034,2005-07-06,2008-05-05,0.8431,7.818,31.88,21.9,2
1002480,"     P/2007 T2 (Kowalski)",0,,JFc,160,2007-08-11,2008-01-18,0.7750,3.093,9.90,5.44,6
1003317,"     P/2008 Y12 (SOHO)",0,,JFC,1973,2008-12-21,2014-05-17,0.9788,3.078,23.35,5.4,4
1003080,"     P/2009 WX51 (Catalina)",0,,JFc,146,2009-11-22,2010-04-17,0.7403,3.08,9.59,5.41,4
1003099,"     C/2010 L5 (WISE)",0,,HTC,31,2010-06-14,2010-07-15,0.9042,8.26,147.05,23.7,8
1003152,"     C/2011 S2 (Kowalski)",0,,HTC,180,2011-09-30,2012-03-28,0.9316,16.31,17.57,65.8,4
1003198,"     P/2012 NJ (La Sagra)",0,,HTC,272,2012-07-13,2013-04-11,0.8481,8.503,84.38,24.8,3
1003369,"     P/2015 A3 (PANSTARRS)",0,,HTC,155,2015-01-08,2015-06-12,0.8459,7.482,172.51,20.5,6
1003377,"     C/2015 D1 (SOHO)",0,,JFC,3,2015-02-18,2015-02-21,0.9943,4.989,69.62,11.1,9
1003382,"     C/2015 F5 (SWAN-Xingming)",0,,HTC,43,2015-04-05,2015-05-18,0.9777,15.55,149.26,61.3,6
1003429,"     C/2015 X8 (NEOWISE)",0,,HTC,683,2015-12-14,2017-10-27,0.9391,19.55,155.28,86.4,5
1003554,"     P/2017 Y3 (Leonard)",0,,HTC,265,2017-12-26,2018-09-17,0.8707,9.865,27.59,31,4
1003675,"     C/2019 Y4-D (ATLAS)",0,,HTC,8,2020-04-09,2020-04-17,0.9887,22.64,44.82,108,9
1003672,"     P/2020 G1 (Pimentel)",0,,JFc,97,2020-04-13,2020-07-19,0.8596,3.603,18.47,6.84,5
1003699,"     C/2020 M3 (ATLAS)",0,,HTC,348,2020-06-27,2021-06-10,0.9527,26.82,23.47,139,3
1003715,"     C/2020 P4-B",0,,ETc,1,2020-08-06,2020-08-07,0.9092,1.02,28.15,1.03,9
1003716,"     C/2020 P4-C",0,,ETc,,2020-08-07,2020-08-07,0.9394,1.391,37.56,1.64,9
1003811,"     P/2021 HS (PANSTARRS)",0,,JFc,243,2021-04-10,2021-12-09,0.8102,4.196,12.17,8.59,4
1003792,"     P/2021 N1 (ZTF)",0,,JFc,25,2021-06-17,2021-07-12,0.6768,2.977,11.51,5.14,7
1003909,"     P/2021 PE20 (ATLAS)",0,,JFc,95,2021-08-09,2021-11-12,0.6708,3.746,20.02,7.25,5
1003804,"     P/2021 Q5 (ATLAS)",0,,JFc,77,2021-08-29,2021-11-14,0.6240,3.283,10.73,5.95,6
1003914,"     C/2023 E1 (ATLAS)",0,,HTC,325,2022-12-25,2023-11-15,0.9469,19.33,38.31,85,3
1003954,"     C/2023 S3 (Lemmon)",0,,HTC,251,2023-09-25,2024-06-02,0.9708,28.47,140.50,152,2
1004036,"     P/2024 OC2 (PANSTARRS)",0,,JFc,177,2024-07-09,2025-01-02,0.7742,2.626,7.67,4.26,4
